variable,Havuzlanmış OLS,Sabit Etki (FE),Rassal Etki (RE),Anderson-Hsiao,Mean Group (MG),CCEMG
ln(GSYİH pc),0.184**,0.115*,0.135**,0.184,-0.199,-0.460
,(0.092),(0.063),(0.063),(0.123),(0.616),(0.584)
ln(GSYİH pc)²,-0.075***,-0.100***,-0.094***,0.024,0.013,0.109
,(0.018),(0.018),(0.017),(0.022),(0.165),(0.169)
ln(Enerji pc),0.786***,0.627***,0.669***,0.137,0.835***,1.123***
,(0.077),(0.069),(0.068),(0.126),(0.253),(0.284)
Enerji yoğunluğu,0.045*,-0.005,0.002,0.071,0.082,-0.360
,(0.026),(0.016),(0.016),(0.053),(0.356),(0.333)
Gecikmeli bağımlı (ρ),,,,0.881***,,
,,,,(0.129),,
Gözlem (N),"5,360","5,360","5,360","5,032","5,360","5,360"
Ülke,164,164,164,164,164,164
R² / within,0.949,0.628,0.696,,,
