variable,description,non_null,dtype
country,Ülke adı,7412,str
year,Yıl,7412,int64
iso3,Ülke ISO3 kodu,7412,str
co2_total_mt,Üretim-bazlı toplam CO2 (Mt),7293,float64
co2_pc,Kişi başı CO2 (ton),7229,float64
co2_intensity_gdp,CO2 / GDP,5409,float64
co2_cons_mt,Tüketim-bazlı CO2 (Mt),4064,float64
ghg_total_mt,Toplam sera gazı (Mt CO2eq),6766,float64
ch4_mt,CH4 (Mt CO2eq),6766,float64
n2o_mt,N2O (Mt CO2eq),6834,float64
co2_coal_mt,Kömür CO2 (Mt),4615,float64
co2_oil_mt,Petrol CO2 (Mt),7239,float64
co2_gas_mt,Gaz CO2 (Mt),4129,float64
co2_cement_mt,Çimento CO2 (Mt),7054,float64
population,Nüfus (OWID),7344,float64
gdp,"GDP (OWID, uluslararası $)",5410,float64
energy_pc,Kişi başı birincil enerji (kWh),6846,float64
energy_intensity,Enerji / GDP,5359,float64
renew_share,Yenilenebilir payı (%),2686,float64
fossil_share,Fosil payı (%),2686,float64
lowcarbon_share,Düşük karbon payı (%),2686,float64
elec_carbon_int,Elektrik karbon yoğunluğu,5132,float64
elec_demand_pc,Kişi başı elektrik talebi,5157,float64
gdp_pc_owid,Kişi başı GDP (OWID),5410,float64
ln_co2_pc,ln(kişi başı CO2),7225,float64
ln_energy_pc,ln(kişi başı enerji),6797,float64
