iso3,dep_obs_years
MCO,0
SMR,0
VAT,0
CXR,30
ERI,30
TLS,30
MHL,32
FSM,32
NAM,33
ATA,34
ATG,34
AUS,34
ARM,34
ALB,34
ABW,34
AFG,34
BEN,34
BES,34
BFA,34
BGD,34
BGR,34
BHR,34
BHS,34
BIH,34
BLR,34
BLZ,34
BMU,34
BOL,34
AUT,34
AND,34
AGO,34
AIA,34
BTN,34
BRN,34
BWA,34
CAF,34
CHL,34
CHN,34
CAN,34
CHE,34
COD,34
COG,34
COK,34
COL,34
COM,34
CPV,34
CIV,34
CMR,34
CUB,34
CRI,34
CYP,34
CUW,34
DEU,34
DJI,34
DMA,34
CZE,34
DNK,34
DOM,34
ECU,34
DZA,34
BRA,34
AZE,34
ARE,34
ARG,34
ETH,34
EST,34
ESP,34
FIN,34
FRO,34
GAB,34
FRA,34
FJI,34
GHA,34
GIN,34
GMB,34
GNB,34
GNQ,34
GRC,34
GBR,34
GEO,34
GTM,34
GUY,34
HKG,34
HND,34
HRV,34
HTI,34
HUN,34
IDN,34
IND,34
IRL,34
IRN,34
IRQ,34
ISL,34
ISR,34
GRD,34
GRL,34
JAM,34
ITA,34
JOR,34
JPN,34
KGZ,34
KHM,34
KAZ,34
KEN,34
KOR,34
KWT,34
LAO,34
LBN,34
LBR,34
LBY,34
KIR,34
KNA,34
LIE,34
LCA,34
LTU,34
LKA,34
LUX,34
LVA,34
MAC,34
LSO,34
MAR,34
MDA,34
MDV,34
MDG,34
EGY,34
BRB,34
BDI,34
BEL,34
MLT,34
MLI,34
MKD,34
MEX,34
MRT,34
MSR,34
MNG,34
MMR,34
MWI,34
MYS,34
NCL,34
NER,34
NGA,34
NIC,34
MUS,34
MNE,34
NOR,34
NPL,34
NRU,34
NZL,34
OMN,34
PAK,34
PAN,34
PER,34
PHL,34
PLW,34
PNG,34
POL,34
PRK,34
PRT,34
NIU,34
MOZ,34
PSE,34
PYF,34
ROU,34
QAT,34
RWA,34
SAU,34
SDN,34
RUS,34
SEN,34
SGP,34
SLB,34
SHN,34
SLE,34
SLV,34
SOM,34
SPM,34
SRB,34
SSD,34
STP,34
SUR,34
SVK,34
SVN,34
SWE,34
SWZ,34
SXM,34
SYC,34
SYR,34
TCA,34
TCD,34
TGO,34
PRY,34
NLD,34
TJK,34
THA,34
TON,34
TKM,34
TUN,34
TUR,34
TUV,34
TTO,34
TWN,34
TZA,34
UKR,34
UGA,34
URY,34
USA,34
UZB,34
VCT,34
VEN,34
VGB,34
VNM,34
VUT,34
WLF,34
WSM,34
YEM,34
ZAF,34
ZMB,34
ZWE,34
